Date	Time	windspeed(m/s)	windAngle(deg)	PV_power(W)	PV_voltage(V)	
1/1/0	5:12:58	0.00	315.00	0.00000	0.00645	
1/1/0	5:13:58	0.00	270.00	0.00000	0.01290	
1/1/0	5:14:58	0.00	270.00	0.00000	0.00645	
1/1/0	5:15:58	0.00	315.00	0.00000	0.00645	
1/1/0	5:16:58	0.00	315.00	0.00000	0.00645	
1/1/0	5:17:58	0.00	315.00	0.00000	0.00645	
1/1/0	5:18:59	0.00	270.00	0.00000	0.00645	
1/1/0	5:19:59	0.00	315.00	0.00000	0.00645	
1/1/0	5:20:59	0.00	270.00	0.00000	0.00645	
1/1/0	5:21:59	0.00	270.00	0.00000	0.00645	
1/1/0	5:22:59	0.00	270.00	0.00000	0.00645	
1/1/0	5:23:59	0.00	292.50	0.00000	0.01290	
1/1/0	5:24:59	0.00	270.00	0.00000	0.00645	
1/1/0	5:25:59	0.00	270.00	0.00000	0.00645	
1/1/0	5:27:0	0.00	270.00	0.00000	0.00645	
1/1/0	5:28:0	0.00	292.50	0.00000	0.01290	
1/1/0	5:29:0	0.00	292.50	0.00000	0.00645	
1/1/0	5:30:0	0.00	270.00	0.00000	0.01290	
1/1/0	5:31:0	0.00	315.00	0.00000	0.01290	
1/1/0	5:32:0	0.00	315.00	0.00000	0.00645	
1/1/0	5:33:0	0.00	270.00	0.00000	0.00645	
1/1/0	5:34:1	0.00	270.00	0.00000	0.00645	
1/1/0	5:35:1	0.00	270.00	0.00000	0.00645	
1/1/0	5:36:1	0.00	315.00	0.00000	0.00645	
1/1/0	5:37:1	0.00	315.00	0.00000	0.00645	
1/1/0	5:38:1	0.00	270.00	0.00000	0.00645	
1/1/0	5:39:1	0.00	270.00	0.00000	0.00645	
1/1/0	5:40:1	0.00	270.00	0.00000	0.00645	
1/1/0	5:41:2	0.00	270.00	0.00000	0.00645	
1/1/0	5:42:2	0.00	270.00	0.00000	0.00645	
1/1/0	5:43:2	0.00	315.00	0.00000	0.00645	
1/1/0	5:44:2	0.00	270.00	0.00000	0.00645	
1/1/0	5:45:2	0.00	315.00	0.00000	0.00645	
1/1/0	5:46:2	0.00	270.00	0.00000	0.00645	
1/1/0	5:47:2	0.00	270.00	0.00000	0.00645	
1/1/0	5:48:2	0.00	315.00	0.00000	0.00645	
1/1/0	5:49:3	0.00	315.00	0.00000	0.00645	
1/1/0	5:50:3	0.00	270.00	0.00000	0.00645	
1/1/0	5:51:3	0.00	270.00	0.00000	0.00645	
1/1/0	5:52:3	0.00	270.00	0.00000	0.00645	
1/1/0	5:53:3	0.00	315.00	0.00000	0.00645	
1/1/0	5:54:3	0.00	270.00	0.00000	0.00645	
1/1/0	5:55:3	0.00	315.00	0.00000	0.01290	
1/1/0	5:56:4	0.00	315.00	0.00000	0.01290	
1/1/0	5:57:4	0.00	270.00	0.00000	0.00645	
1/1/0	5:58:4	0.00	270.00	0.00000	0.01290	
1/1/0	5:59:4	0.00	315.00	0.00000	0.00645	
1/1/0	6:0:4	0.00	270.00	0.00000	0.00645	
1/1/0	6:1:4	0.00	315.00	0.00000	0.00645	
1/1/0	6:2:4	0.00	270.00	0.00000	0.00645	
1/1/0	6:3:4	0.00	270.00	0.00000	0.00645	
1/1/0	6:4:5	0.00	270.00	0.00000	0.00645	
1/1/0	6:5:5	0.00	315.00	0.00000	0.00645	
1/1/0	6:6:5	0.00	315.00	0.00000	0.00645	
1/1/0	6:7:5	0.00	270.00	0.00000	0.01290	
1/1/0	6:8:5	0.00	270.00	0.00000	0.00645	
1/1/0	6:9:5	0.00	315.00	0.00000	0.00645	
1/1/0	6:10:5	0.00	270.00	0.00000	0.00645	
1/1/0	6:11:6	0.00	270.00	0.00000	0.00645	
1/1/0	6:12:6	0.00	270.00	0.00000	0.01290	
1/1/0	6:13:6	0.00	270.00	0.00000	0.01290	
1/1/0	6:14:6	0.00	270.00	0.00000	0.00645	
1/1/0	6:15:6	0.00	270.00	0.00000	0.00645	
1/1/0	6:16:6	0.00	315.00	0.00000	0.00645	
1/1/0	6:17:6	0.00	270.00	0.00000	0.00645	
1/1/0	6:18:7	0.00	315.00	0.00000	0.00645	
1/1/0	6:19:7	0.00	315.00	0.00000	0.00645	
1/1/0	6:20:7	0.00	315.00	0.00000	0.00645	
1/1/0	6:21:7	0.00	270.00	0.00000	0.00645	
1/1/0	6:22:7	0.00	270.00	0.00000	0.00645	
1/1/0	6:23:7	0.00	270.00	0.00000	0.01290	
1/1/0	6:24:7	0.00	270.00	0.00000	0.00645	
1/1/0	6:25:7	0.00	270.00	0.00000	0.00645	
1/1/0	6:26:8	0.00	315.00	0.00000	0.00645	
1/1/0	6:27:8	0.00	270.00	0.00000	0.00645	
1/1/0	6:28:8	0.00	270.00	0.00000	0.00645	
1/1/0	6:29:8	0.00	270.00	0.00000	0.00645	
1/1/0	6:30:8	0.00	270.00	0.00000	0.00645	
1/1/0	6:31:8	0.00	270.00	0.00000	0.00645	
1/1/0	6:32:8	0.00	315.00	0.00000	0.00645	
1/1/0	6:33:9	0.00	315.00	0.00000	0.00645	
1/1/0	6:34:9	0.00	270.00	0.00000	0.00645	
1/1/0	6:35:9	0.00	270.00	0.00000	0.00645	
1/1/0	6:36:9	0.00	292.50	0.00000	0.00645	
1/1/0	6:37:9	0.00	315.00	0.00000	0.00645	
1/1/0	6:38:9	0.00	270.00	0.00000	0.00000	
1/1/0	6:39:9	0.00	270.00	0.00000	0.00645	
1/1/0	6:40:9	0.00	292.50	0.00000	0.00645	
1/1/0	6:41:10	0.00	270.00	0.00000	0.00645	
1/1/0	6:42:10	0.00	270.00	0.00000	0.00645	
1/1/0	6:43:10	0.00	315.00	0.00000	0.00645	
1/1/0	6:44:10	0.00	270.00	0.00000	0.00645	
1/1/0	6:45:10	0.00	270.00	0.00000	0.00645	
1/1/0	6:46:10	0.00	292.50	0.00000	0.01290	
1/1/0	6:47:10	0.00	315.00	0.00000	0.00645	
1/1/0	6:48:11	0.00	270.00	0.00000	0.00645	
1/1/0	6:49:11	0.00	315.00	0.00000	0.00645	
1/1/0	6:50:11	0.00	315.00	0.00000	0.00645	
1/1/0	6:51:11	0.00	270.00	0.00000	0.00645	
1/1/0	6:52:11	0.00	270.00	0.00000	0.00645	
1/1/0	6:53:11	0.00	292.50	0.00000	0.00645	
1/1/0	6:54:11	0.00	270.00	0.00000	0.01290	
1/1/0	6:55:11	0.00	270.00	0.00000	0.00645	
1/1/0	6:56:12	0.00	315.00	0.00000	0.00645	
1/1/0	6:57:12	0.00	270.00	0.00000	0.01290	
1/1/0	6:58:12	0.00	270.00	0.00000	0.00645	
1/1/0	6:59:12	0.00	270.00	0.00000	0.01290	
1/1/0	7:0:12	0.00	315.00	0.00000	0.00645	
1/1/0	7:1:12	0.00	270.00	0.00000	0.00645	
1/1/0	7:2:12	0.00	270.00	0.00000	0.00645	
1/1/0	7:3:13	0.00	270.00	0.00000	0.01290	
1/1/0	7:4:13	0.00	270.00	0.00000	0.00645	
1/1/0	7:5:13	0.00	270.00	0.00000	0.00645	
1/1/0	7:6:13	0.00	270.00	0.00000	0.00645	
1/1/0	7:7:13	0.00	270.00	0.00000	0.00645	
1/1/0	7:8:13	0.00	270.00	0.00000	0.00645	
1/1/0	7:9:13	0.00	315.00	0.00000	0.01290	
1/1/0	7:10:14	0.00	315.00	0.00000	0.01290	
1/1/0	7:11:14	0.00	270.00	0.00000	0.00645	
1/1/0	7:12:14	0.00	315.00	0.00000	0.00645	
1/1/0	7:13:14	0.00	270.00	0.00000	0.00645	
1/1/0	7:14:14	0.00	270.00	0.00000	0.00645	
1/1/0	7:15:14	0.00	270.00	0.00000	0.00645	
1/1/0	7:16:14	0.00	315.00	0.00000	0.01290	
1/1/0	7:17:14	0.00	270.00	0.00000	0.00645	
